model,region,history_tercile,h,n,mean_crps,crps_skill_vs_prob_climatology
prob_climatology,igp,short,1,7,5.392807445251767,0.0
prob_climatology,igp,short,2,7,5.685718689176798,0.0
prob_climatology,igp,short,3,3,4.175966036469537,0.0
prob_climatology,igp,short,4,9,5.201999818197861,0.0
prob_climatology,igp,medium,1,456,1.6286123395696799,0.0
prob_climatology,igp,medium,2,476,1.7718467076573814,0.0
prob_climatology,igp,medium,3,376,1.7707357200776679,0.0
prob_climatology,igp,medium,4,602,1.737368124845551,0.0
prob_climatology,igp,long,1,477,2.4708912373008265,0.0
prob_climatology,igp,long,2,480,2.540250933654483,0.0
prob_climatology,igp,long,3,398,2.6626448572593593,0.0
prob_climatology,igp,long,4,614,2.4900738856925937,0.0
prob_climatology,non_igp,short,1,184,4.011346299117486,0.0
prob_climatology,non_igp,short,2,175,4.197482627571183,0.0
prob_climatology,non_igp,short,3,146,3.758077828639184,0.0
prob_climatology,non_igp,short,4,244,3.902625620173979,0.0
prob_climatology,non_igp,medium,1,6255,1.7231743264876764,0.0
prob_climatology,non_igp,medium,2,5475,1.8313203297822012,0.0
prob_climatology,non_igp,medium,3,4959,1.8824010022389945,0.0
prob_climatology,non_igp,medium,4,7510,1.7583974536802995,0.0
prob_climatology,non_igp,long,1,6268,1.4088536731146681,0.0
prob_climatology,non_igp,long,2,5718,1.4774754613550811,0.0
prob_climatology,non_igp,long,3,5072,1.4593068662335706,0.0
prob_climatology,non_igp,long,4,7587,1.4311142888444053,0.0
random_forest,igp,short,1,7,1.0251376530266003,0.8099064979727381
random_forest,igp,short,2,7,1.1320418779804198,0.8008973113398402
random_forest,igp,short,3,3,1.1069136594303437,0.7349323127239427
random_forest,igp,short,4,9,1.1031292078865598,0.7879413213303958
random_forest,igp,medium,1,456,0.8133167068848258,0.5006075496764784
random_forest,igp,medium,2,476,0.9562979634936442,0.46028177304457785
random_forest,igp,medium,3,376,0.9088556469803024,0.48673557737885453
random_forest,igp,medium,4,602,1.0221570326425364,0.4116635282845399
random_forest,igp,long,1,477,0.828018277348434,0.6648908438993244
random_forest,igp,long,2,480,0.928032023648188,0.6346691536048005
random_forest,igp,long,3,398,0.9584618209887196,0.6400339240227263
random_forest,igp,long,4,614,0.98254436558607,0.6054155777338377
random_forest,non_igp,short,1,184,1.7180700136844929,0.5716974089067115
random_forest,non_igp,short,2,175,2.0283873574704523,0.5167609880867687
random_forest,non_igp,short,3,146,2.553269553667587,0.32059162420483
random_forest,non_igp,short,4,244,2.373052541682418,0.39193436095552836
random_forest,non_igp,medium,1,6255,1.053936898605736,0.38837476719261377
random_forest,non_igp,medium,2,5475,1.1404887178642704,0.3772314437202209
random_forest,non_igp,medium,3,4959,1.1369775824448312,0.395996081019682
random_forest,non_igp,medium,4,7510,1.2126428544628305,0.3103704444494121
random_forest,non_igp,long,1,6268,1.007835052296581,0.2846417825149452
random_forest,non_igp,long,2,5718,1.1323613974314557,0.2335836181042903
random_forest,non_igp,long,3,5072,1.1638602435524914,0.20245681666914828
random_forest,non_igp,long,4,7587,1.187826381708368,0.16999893651574616
chronos_conformal,igp,short,1,7,1.5463972256456775,0.7132482030287877
chronos_conformal,igp,short,2,7,1.5165712878305668,0.7332665629909765
chronos_conformal,igp,short,3,3,0.943141262679308,0.7741501596414653
chronos_conformal,igp,short,4,9,1.607065527355737,0.6910677463436599
chronos_conformal,igp,medium,1,456,0.8306424447771107,0.48996920593356963
chronos_conformal,igp,medium,2,476,1.0227513393947258,0.42277662340951605
chronos_conformal,igp,medium,3,376,0.9355579866211412,0.4716557778706211
chronos_conformal,igp,medium,4,602,0.9636141318971716,0.44535984163814724
chronos_conformal,igp,long,1,477,0.7322552943673568,0.7036472980626762
chronos_conformal,igp,long,2,480,0.8783883164980186,0.654211989508319
chronos_conformal,igp,long,3,398,0.8641247956397308,0.6754637430208519
chronos_conformal,igp,long,4,614,0.9124780095463269,0.6335538415991506
chronos_conformal,non_igp,short,1,184,1.93103511916428,0.5186067282226128
chronos_conformal,non_igp,short,2,175,2.530808400069286,0.39706518772807786
chronos_conformal,non_igp,short,3,146,2.904727895300354,0.22707085170927166
chronos_conformal,non_igp,short,4,244,2.377985524216213,0.39067034462039885
chronos_conformal,non_igp,medium,1,6255,1.185742196308722,0.31188494507946574
chronos_conformal,non_igp,medium,2,5475,1.3463234020058903,0.26483456765534374
chronos_conformal,non_igp,medium,3,4959,1.2885380157374169,0.31548165656266436
chronos_conformal,non_igp,medium,4,7510,1.288617494022123,0.26716369423473296
chronos_conformal,non_igp,long,1,6268,0.9987957801298716,0.291057830071343
chronos_conformal,non_igp,long,2,5718,1.1482939331683824,0.22279999688440622
chronos_conformal,non_igp,long,3,5072,1.1774952787411377,0.193113315652232
chronos_conformal,non_igp,long,4,7587,1.1939387294277557,0.1657278955744086
