h,best_model,model,mean_crps_diff,t_stat,p_value,n_wells
1,xgboost,chronos,0.04530561073566118,2.8921543423360347,0.0038553659651869854,2824
1,xgboost,climatology,0.604956630599832,15.607132979073029,0.0,2824
1,xgboost,gru,0.029599184870035378,1.268140326013666,0.2048524162015828,2824
1,xgboost,lstm,0.06073543500165261,2.558806142731974,0.010554950678045794,2824
1,xgboost,persistence,0.46821844414700997,21.764978032254024,0.0,2824
1,xgboost,random_forest,-0.009105547667939808,-0.852991335020715,0.3937364740330105,2824
1,xgboost,seasonal_naive,0.2441742519127504,11.090703404736281,0.0,2824
2,random_forest,chronos,0.10562594320755188,8.648922347691707,0.0,2739
2,random_forest,climatology,0.530689378931913,12.693094500495103,0.0,2739
2,random_forest,gru,0.10026805632298888,4.666126186557463,3.2168541177490795e-06,2739
2,random_forest,lstm,0.12359202491675825,5.5870441239281625,2.5370404888036546e-08,2739
2,random_forest,persistence,0.7596205289468405,33.838852450782156,0.0,2739
2,random_forest,seasonal_naive,0.154106371135068,11.508760033510063,0.0,2739
2,random_forest,xgboost,0.02101574528641456,2.0091189442700728,0.04462250100688303,2739
3,random_forest,chronos,0.06634740334741943,4.896804608788133,1.031628140690799e-06,2695
3,random_forest,climatology,0.4738623579298965,12.414739281728762,0.0,2695
3,random_forest,gru,0.09659100278358808,4.263300176690813,2.0835801361140938e-05,2695
3,random_forest,lstm,0.14413471244412468,6.102890799044168,1.1914504938204118e-09,2695
3,random_forest,persistence,0.43387439315674564,23.66591873376608,0.0,2695
3,random_forest,seasonal_naive,0.1485791401056857,10.467372453610524,0.0,2695
3,random_forest,xgboost,0.02199070399751808,2.957222551720597,0.0031312263142131425,2695
4,random_forest,chronos,0.03704691162257183,3.342230707171549,0.0008415760715345666,2913
4,random_forest,climatology,0.3973494325520079,10.780468041172005,0.0,2913
4,random_forest,gru,0.08092102271540184,3.906997384850218,9.557596791442968e-05,2913
4,random_forest,lstm,0.0906296131586408,4.503153528412632,6.9583817825513705e-06,2913
4,random_forest,persistence,0.07378004992454286,5.658222156089725,1.6781481537719856e-08,2913
4,random_forest,seasonal_naive,0.07378004992454286,5.658222156089725,1.6781481537719856e-08,2913
4,random_forest,xgboost,0.01520728964780147,1.3053545516203502,0.19187527263147897,2913
