region,h,model,nse_med,frac_pos,n
igp,1,chronos,-0.6369800276472107,0.26881720430107525,186
igp,1,climatology,-4.246280898080835,0.12365591397849462,186
igp,1,gru,-0.7132721942266826,0.2903225806451613,186
igp,1,lstm,-0.8706268772219594,0.25806451612903225,186
igp,1,persistence,-1.7341963603473936,0.11827956989247312,186
igp,1,random_forest,-1.0141626761762441,0.22580645161290322,186
igp,1,seasonal_naive,-1.3053111555958397,0.20430107526881722,186
igp,1,xgboost,-0.7923371668477961,0.20967741935483872,186
igp,2,chronos,-0.676820483067254,0.12307692307692308,195
igp,2,climatology,-2.4100583516811493,0.13333333333333333,195
igp,2,gru,-0.9221629490279946,0.17435897435897435,195
igp,2,lstm,-1.0189913098792052,0.14358974358974358,195
igp,2,persistence,-1.8443951070597535,0.03076923076923077,195
igp,2,random_forest,-0.6804469348386093,0.22564102564102564,195
igp,2,seasonal_naive,-1.0901644701012954,0.24615384615384617,195
igp,2,xgboost,-0.639272671330873,0.27692307692307694,195
igp,3,chronos,-0.683439676361836,0.24260355029585798,169
igp,3,climatology,-2.918444328824141,0.14792899408284024,169
igp,3,gru,-0.9907777565379365,0.1952662721893491,169
igp,3,lstm,-0.9847062121001344,0.1834319526627219,169
igp,3,persistence,-1.1718892083855597,0.08875739644970414,169
igp,3,random_forest,-0.9132336309357105,0.1834319526627219,169
igp,3,seasonal_naive,-1.1013542717187725,0.20118343195266272,169
igp,3,xgboost,-0.7403144162096984,0.20710059171597633,169
igp,4,chronos,-0.6879830564744699,0.25925925925925924,216
igp,4,climatology,-2.5995181324603793,0.11574074074074074,216
igp,4,gru,-1.0613062210387183,0.1712962962962963,216
igp,4,lstm,-0.8881534504416436,0.17592592592592593,216
igp,4,persistence,-1.0581390549569345,0.2037037037037037,216
igp,4,random_forest,-0.7759960170356048,0.1574074074074074,216
igp,4,seasonal_naive,-1.0581390549569345,0.2037037037037037,216
igp,4,xgboost,-0.8528875374399842,0.16203703703703703,216
national,1,chronos,-0.25725453116294417,0.36628643852978454,2367
national,1,climatology,-0.5853698504236724,0.3392479932403887,2367
national,1,gru,-0.07752703139348549,0.4579636670891424,2367
national,1,lstm,-0.1305453877477678,0.4389522602450359,2367
national,1,persistence,-1.8123654513053955,0.08576256865230249,2367
national,1,random_forest,-0.14620291180292044,0.4372623574144487,2367
national,1,seasonal_naive,-0.6901781744810371,0.29277566539923955,2367
national,1,xgboost,-0.1143161042756573,0.45373891001267425,2367
national,2,chronos,-0.3829816135695657,0.3213367609254499,2334
national,2,climatology,-0.42718088888214567,0.3783204798628963,2334
national,2,gru,-0.15103343960093385,0.4297343616109683,2334
national,2,lstm,-0.18480133546381394,0.42116538131962294,2334
national,2,persistence,-2.3716194035138196,0.027420736932305057,2334
national,2,random_forest,-0.10225178810302038,0.455012853470437,2334
national,2,seasonal_naive,-0.4907307048034991,0.35304198800342756,2334
national,2,xgboost,-0.12964476988233375,0.44515852613538986,2334
national,3,chronos,-0.3491164596019556,0.3501522401043932,2299
national,3,climatology,-0.5226269034290516,0.3466724662896912,2299
national,3,gru,-0.23517852441819254,0.4019138755980861,2299
national,3,lstm,-0.33483836706454184,0.3784254023488473,2299
national,3,persistence,-1.5,0.08742931709438886,2299
national,3,random_forest,-0.3002232080033891,0.4010439321444106,2299
national,3,seasonal_naive,-0.6794362297544845,0.32144410613310137,2299
national,3,xgboost,-0.32163075999872226,0.3988690735102218,2299
national,4,chronos,-0.27669479729113466,0.37009419152276296,2548
national,4,climatology,-0.3942959930831236,0.3536106750392465,2548
national,4,gru,-0.20363265685509613,0.40698587127158553,2548
national,4,lstm,-0.2509740830478693,0.3924646781789639,2548
national,4,persistence,-0.5554730465782497,0.3194662480376766,2548
national,4,random_forest,-0.26648721886314697,0.3901098901098901,2548
national,4,seasonal_naive,-0.5554730465782497,0.3194662480376766,2548
national,4,xgboost,-0.29458441494173415,0.3940345368916798,2548
