cohort,h,model,brier,bss,auc,ece,base_rate,n_pos,n_neg,in_brier_mcs,brier_mcs_p
national,1,chronos,0.05672024934883046,0.3252376899732764,0.8496147810412776,0.05371037653716795,0.08129961775948251,1106,12498,False,0.0015
national,1,climatology,0.08405959921884802,0.0,0.6171269139047781,0.07498031307205151,0.08129961775948251,1106,12498,False,0.0
national,1,gru,0.0544476225731274,0.35227358827427,0.8529138260675054,0.04682902452293742,0.08129961775948251,1106,12498,True,1.0
national,1,lstm,0.05442374201771507,0.3525576790340911,0.855494636827245,0.04746965756300078,0.08129961775948251,1106,12498,True,1.0
national,1,persistence,0.08382231259563307,0.0028228379081035593,0.8132760192806257,0.11099574004661654,0.08129961775948251,1106,12498,False,0.0
national,1,random_forest,0.060009720875743564,0.2861050798076128,0.8572928992327742,0.06274962933335977,0.08129961775948251,1106,12498,False,0.0
national,1,seasonal_naive,0.0715054495679787,0.14934819779695552,0.8276224015010575,0.0865313878896461,0.08129961775948251,1106,12498,False,0.0
national,1,xgboost,0.058986083873128814,0.29828259447729044,0.8546547556108073,0.060518126856267285,0.08129961775948251,1106,12498,False,0.0
national,2,chronos,0.06483631932077692,0.2684410235679129,0.8340887724952994,0.0555717434190366,0.09113841647001383,1120,11169,True,1.0
national,2,climatology,0.08862760407505693,0.0,0.6385086112070399,0.06802635229876117,0.09113841647001383,1120,11169,False,0.0
national,2,gru,0.06415567173312978,0.27612088352520925,0.8371966252254326,0.0438880168150049,0.09113841647001383,1120,11169,True,1.0
national,2,lstm,0.06516517536236045,0.26473048614545214,0.8316397906194442,0.04561491292090995,0.09113841647001383,1120,11169,True,1.0
national,2,persistence,0.1058761079358296,-0.19461773835345086,0.7389669109652993,0.13536780812791555,0.09113841647001383,1120,11169,False,0.0
national,2,random_forest,0.06390207052824576,0.278982308106531,0.8518831619405753,0.05707968137348049,0.09113841647001383,1120,11169,True,1.0
national,2,seasonal_naive,0.0725746018584125,0.1811286944307946,0.847092438573603,0.07940544787959544,0.09113841647001383,1120,11169,False,0.0
national,2,xgboost,0.0644220945431155,0.27311479064064825,0.8472803390762698,0.056635591099425966,0.09113841647001383,1120,11169,True,1.0
national,3,chronos,0.05988262016362874,0.275586926261994,0.8448645085095883,0.0562898446396268,0.08624324076619924,941,9970,True,1.0
national,3,climatology,0.08266363810171394,0.0,0.663768350748313,0.05473019610157032,0.08624324076619924,941,9970,False,0.0
national,3,gru,0.05931433014664744,0.2824616541354762,0.8433606878019821,0.043396010284315945,0.08624324076619924,941,9970,True,1.0
national,3,lstm,0.06064349882008915,0.2663824117507384,0.839333782431247,0.04810369483092437,0.08624324076619924,941,9970,False,0.0865
national,3,persistence,0.09587806598921095,-0.1598578067812264,0.7522275647345864,0.13286320764251758,0.08624324076619924,941,9970,False,0.0
national,3,random_forest,0.05836840518066239,0.2939047140794522,0.8632366813511736,0.05444629335769322,0.08624324076619924,941,9970,True,1.0
national,3,seasonal_naive,0.06672224964092664,0.19284644163824638,0.8496132392927986,0.07073709056169775,0.08624324076619924,941,9970,False,0.0
national,3,xgboost,0.058993632564140044,0.28634120250610073,0.8627630500427957,0.057184676233061,0.08624324076619924,941,9970,True,1.0
national,4,chronos,0.06492730153499483,0.2506389659403019,0.8266173323327496,0.06443235620296389,0.08675107530138729,1432,15075,True,1.0
national,4,climatology,0.08664355175134764,0.0,0.6238421949841111,0.06978608176511102,0.08675107530138729,1432,15075,False,0.0
national,4,gru,0.0691464637581965,0.2019433372648991,0.7863532199338503,0.04851635994795092,0.08675107530138729,1432,15075,False,0.0095
national,4,lstm,0.06701618503691685,0.2265300338882461,0.8018891344024756,0.05578251613461532,0.08675107530138729,1432,15075,True,1.0
national,4,persistence,0.0725593581502672,0.1625532808430994,0.8326952991096659,0.08154442220261082,0.08675107530138729,1432,15075,False,0.0
national,4,random_forest,0.06687186206763171,0.22819574318071978,0.8361760564032723,0.07109906680513327,0.08675107530138729,1432,15075,True,1.0
national,4,seasonal_naive,0.0725593581502672,0.1625532808430994,0.8326952991096659,0.08154442220261082,0.08675107530138729,1432,15075,False,0.0
national,4,xgboost,0.06579762473465915,0.24059409610207083,0.8319761990790924,0.0651570752039502,0.08675107530138729,1432,15075,True,1.0
