feature,mean_abs_shap,family,builtin_importance
y_roll4_mean,7.96438605097427,autoregressive,0.9063308961018323
y_lag2,1.2017567085921894,autoregressive,0.04426001054689071
y_lag6,0.6290796962221408,autoregressive,0.00941972613883345
cos_q,0.39169660716956883,seasonal,0.004148144791064594
wellDepth,0.2253004834965559,static,0.003638232775807034
lat,0.19930075818368803,static,0.003154577591691775
sin_q,0.07991664766592087,seasonal,0.0005957232535524526
y_trend4,0.07927645267552594,autoregressive,0.0023938467454292494
y_lag1,0.07839404057781907,autoregressive,0.0025841569746507505
y_lag5,0.07480306368807138,autoregressive,0.0018549749047999196
y_roll4_std,0.04097109701620544,autoregressive,0.00314343236159207
y_lag8,0.038219770252469955,autoregressive,0.001387872791983816
y_lag4,0.035350566423395714,autoregressive,0.001282939532865325
lon,0.03452321232193942,static,0.002044303619493107
t2m_lag2,0.03027616976112762,covariate,0.000876118962595137
t2m_min_lag0,0.029436996386360006,covariate,0.0010898483651761706
t2m_min_lag1,0.027904937838221795,covariate,0.0008061809590102455
t2m_max_lag2,0.02700390109228199,covariate,0.0008661123913710527
t2m_max_lag0,0.02306425069498697,covariate,0.001073576893979045
y_lag3,0.022455533812209733,autoregressive,0.0017516985672332407
t2m_lag0,0.02119192886419155,covariate,0.0008391447349260678
t2m_min_lag4,0.020429281748279998,covariate,0.0006649410707225232
rainfall_lag1,0.019339743877686368,covariate,0.0004885492580464412
t2m_min_lag2,0.01832742889427748,covariate,0.0007359217546523702
t2m_lag1,0.01486545217846427,covariate,0.0005808050840190145
t2m_max_lag1,0.011183543499956749,covariate,0.0007032326429118136
rainfall_lag0,0.010490074175110848,covariate,0.0006302541494807697
t2m_lag4,0.010092648305341954,covariate,0.00048631256097207183
t2m_max_lag4,0.009314294610886098,covariate,0.0006017035330777874
y_lag6__miss,0.0070265789978513895,autoregressive,0.00013517538600207228
rainfall_lag2,0.0056573410256415746,covariate,0.00044196308881085556
rainfall_lag4,0.005035214419145343,covariate,0.00037440755895059425
y_lag2__miss,0.0037147079410879856,autoregressive,6.46713952103259e-05
t2m_max_lag2__miss,0.0036048004872068786,covariate,5.97954538008583e-05
t2m_lag2__miss,0.0035347231249473507,covariate,6.33780707594463e-05
t2m_min_lag2__miss,0.003362903547909029,covariate,5.957893499042832e-05
rainfall_lag2__miss,0.0029366229011353086,covariate,5.2337199378966106e-05
y_roll4_std__miss,0.002820355560406324,autoregressive,5.952706161843922e-05
y_lag3__miss,0.002766265168136707,autoregressive,5.906421043074218e-05
rainfall_lag1__miss,0.002176343202321078,covariate,1.4801836198645997e-05
y_lag8__miss,0.002090329974433676,autoregressive,5.700099163672359e-05
t2m_max_lag1__miss,0.0017412580422949257,covariate,1.4921129142994741e-05
t2m_min_lag1__miss,0.0016430607791309488,covariate,1.4333121956778152e-05
y_lag1__miss,0.0014391458377125167,autoregressive,9.600347538203532e-06
t2m_lag1__miss,0.0013429269952785977,covariate,1.0601583640213904e-05
y_lag5__miss,0.0011228310319175698,autoregressive,4.329073504594803e-05
t2m_min_lag4__miss,0.00038274072421466346,covariate,5.6316818165015256e-06
y_lag4__miss,0.0002830501416805699,autoregressive,5.461540172043947e-06
t2m_lag4__miss,0.0002081415959018814,covariate,5.4636117926490645e-06
rainfall_lag4__miss,0.00018050162950362667,covariate,6.312818407871425e-06
t2m_max_lag4__miss,0.00017000221410280324,covariate,4.417482635258927e-06
y_trend4__miss,0.00015234078933974474,autoregressive,5.025701403166527e-06
lat__miss,0.0,other,0.0
wellDepth__miss,0.0,other,0.0
cos_q__miss,0.0,seasonal,0.0
sin_q__miss,0.0,seasonal,0.0
y_roll4_mean__miss,0.0,autoregressive,0.0
lon__miss,0.0,other,0.0
t2m_lag0__miss,0.0,covariate,0.0
rainfall_lag0__miss,0.0,covariate,0.0
t2m_max_lag0__miss,0.0,covariate,0.0
t2m_min_lag0__miss,0.0,covariate,0.0
