year,target
1994,7.49465032444124
1995,7.243973509933776
1996,6.935912858337769
1997,6.971419156414763
1998,6.589389166911981
1999,7.036389818181818
2000,7.155426391636055
2001,7.4022742330404725
2002,7.837292658300879
2003,7.4717928646695775
2004,6.846067576142132
2005,8.402149095829746
2006,7.844396235639207
2007,8.025002418964684
2008,8.016467183844355
2009,8.47667634802374
2010,8.41860977198697
2011,8.023680794196258
2012,8.687129332477536
2013,7.884617453867483
2014,7.866047757132793
2015,8.124568092749838
2016,7.886299830997117
2017,8.45174388939182
2018,8.81885162601626
2019,8.186819427148194
2020,7.441193904655389
2021,6.67573987258084
2022,10.609152290438892
2023,-10.695477537536389
2024,-12.008580422717253
2025,-19.0440427770318
