model,h,region,picp90,mpiw90,ace90
chronos,1,igp,0.8936170212765957,4.2369185256958,-0.00638297872340432
chronos,1,non_igp,0.9259463287951523,7.615148162841796,0.02594632879515224
chronos,2,igp,0.8982346832814122,5.233936691284179,-0.0017653167185878171
chronos,2,non_igp,0.9259324419422942,8.605185508728027,0.02593244194229416
chronos,3,igp,0.924066924066924,5.16305847167969,0.02406692406692401
chronos,3,non_igp,0.931413972683502,8.851825065612791,0.03141397268350199
chronos,4,igp,0.92,5.4921713256836,0.020000000000000018
chronos,4,non_igp,0.9289485691936641,8.780173492431642,0.028948569193664064
climatology,1,igp,0.8627659574468085,9.708000000000002,-0.037234042553191515
climatology,1,non_igp,0.8928936806484615,8.764545454545456,-0.007106319351538493
climatology,2,igp,0.8587746625129803,10.1,-0.04122533748701973
climatology,2,non_igp,0.8886347642505278,8.805714285714288,-0.011365235749472236
climatology,3,igp,0.8545688545688546,9.780000000000001,-0.04543114543114546
climatology,3,non_igp,0.8889653139432052,8.775238095238095,-0.011034686056794807
climatology,4,igp,0.8693877551020408,10.458181818181814,-0.030612244897959218
climatology,4,non_igp,0.8912065706277296,8.739999999999998,-0.008793429372270456
gru,1,igp,0.9,4.494633593713887,0.0
gru,1,non_igp,0.9111513339104431,6.7626848194713745,0.011151333910443095
gru,2,igp,0.8650051921079959,5.254518109501482,-0.034994807892004154
gru,2,non_igp,0.9065798733286418,7.55979910106855,0.006579873328641739
gru,3,igp,0.8545688545688546,5.355611705643767,-0.04543114543114546
gru,3,non_igp,0.9069470374373587,7.765959153310589,0.006947037437358694
gru,4,igp,0.8661224489795918,6.340912394986567,-0.033877551020408236
gru,4,non_igp,0.9089368359298612,8.061709293459854,0.008936835929861164
lstm,1,igp,0.8914893617021277,4.459411021625629,-0.008510638297872353
lstm,1,non_igp,0.906508223813646,6.7887116133937875,0.006508223813646019
lstm,2,igp,0.8650051921079959,5.304255602977826,-0.034994807892004154
lstm,2,non_igp,0.9064919071076707,7.791456182575589,0.006491907107670669
lstm,3,igp,0.87001287001287,5.37668078397693,-0.029987129987130046
lstm,3,non_igp,0.9020339982313059,7.848984197781391,0.0020339982313059
lstm,4,igp,0.883265306122449,5.987335591774365,-0.016734693877551
lstm,4,non_igp,0.9026790952349912,7.947820569282099,0.0026790952349912134
persistence,1,igp,0.8734042553191489,5.0,-0.02659574468085113
persistence,1,non_igp,0.9182340442275911,10.759999999999998,0.018234044227591117
persistence,2,igp,0.8660436137071651,6.38000000000001,-0.03395638629283493
persistence,2,non_igp,0.9189831104855736,12.780000000000003,0.01898311048557355
persistence,3,igp,0.9227799227799228,6.359999999999999,0.0227799227799228
persistence,3,non_igp,0.9413383118797288,12.66,0.041338311879728806
persistence,4,igp,0.9371428571428572,6.1,0.037142857142857144
persistence,4,non_igp,0.9290137539925689,9.379999999999999,0.02901375399256889
random_forest,1,igp,0.9031914893617021,4.352794230619835,0.0031914893617021045
random_forest,1,non_igp,0.9255528448886441,7.1123296312285715,0.025552844888644066
random_forest,2,igp,0.9055036344755971,5.391242943927301,0.005503634475597097
random_forest,2,non_igp,0.9297149894440535,8.100780307758667,0.029714989444053486
random_forest,3,igp,0.9009009009009009,5.028257767868453,0.0009009009009008917
random_forest,3,non_igp,0.9288591922963545,8.229427729067467,0.028859192296354474
random_forest,4,igp,0.9036734693877551,5.545188669595824,0.003673469387755035
random_forest,4,non_igp,0.9270582100254221,8.325991142536765,0.02705821002542208
seasonal_naive,1,igp,0.9425531914893617,5.820000000000001,0.04255319148936165
seasonal_naive,1,non_igp,0.9308255292358543,9.180000000000001,0.030825529235854243
seasonal_naive,2,igp,0.9325025960539979,6.14,0.032502596053997856
seasonal_naive,2,non_igp,0.9315622800844475,9.6,0.0315622800844475
seasonal_naive,3,igp,0.9343629343629344,5.799999999999999,0.03436293436293436
seasonal_naive,3,non_igp,0.9290557138645966,9.400000000000002,0.0290557138645966
seasonal_naive,4,igp,0.9371428571428572,6.1,0.037142857142857144
seasonal_naive,4,non_igp,0.9290137539925689,9.379999999999999,0.02901375399256889
xgboost,1,igp,0.8914893617021277,4.513191528320306,-0.008510638297872353
xgboost,1,non_igp,0.9265759030455655,7.090808296203613,0.026575903045565452
xgboost,2,igp,0.9023883696780893,5.455705108642576,0.0023883696780893082
xgboost,2,non_igp,0.9296270232230823,8.09527225494385,0.029627023223082305
xgboost,3,igp,0.9034749034749034,5.4584249877929665,0.0034749034749034236
xgboost,3,non_igp,0.9257148472044807,8.071771926879881,0.025714847204480695
xgboost,4,igp,0.9191836734693878,6.084557342529296,0.019183673469387763
xgboost,4,non_igp,0.9235382308845578,8.218172454833987,0.023538230884557754
