model,bin_left,bin_right,density,uniformity_dev
chronos,0.0,0.1,0.09269436506191837,0.018623441034817494
chronos,0.1,0.2,0.08712537554041182,0.018623441034817494
chronos,0.2,0.30000000000000004,0.10720304828900125,0.018623441034817494
chronos,0.30000000000000004,0.4,0.09958232578588701,0.018623441034817494
chronos,0.4,0.5,0.10800908624606141,0.018623441034817494
chronos,0.5,0.6000000000000001,0.12464277863266653,0.018623441034817494
chronos,0.6000000000000001,0.7000000000000001,0.10082802081043453,0.018623441034817494
chronos,0.7000000000000001,0.8,0.11255220927676413,0.018623441034817494
chronos,0.8,0.9,0.09437971715395325,0.018623441034817494
chronos,0.9,1.0,0.07298307320290173,0.018623441034817494
climatology,0.0,0.1,0.14999633619110428,0.09992074821877327
climatology,0.1,0.2,0.12750054957133436,0.09992074821877327
climatology,0.2,0.30000000000000004,0.14369458489045212,0.09992074821877327
climatology,0.30000000000000004,0.4,0.11335824723382429,0.09992074821877327
climatology,0.4,0.5,0.10134095405583644,0.09992074821877327
climatology,0.5,0.6000000000000001,0.09870301165091229,0.09992074821877327
climatology,0.6000000000000001,0.7000000000000001,0.07298307320290173,0.09992074821877327
climatology,0.7000000000000001,0.8,0.06836667399428446,0.09992074821877327
climatology,0.8,0.9,0.05810800908624606,0.09992074821877327
climatology,0.9,1.0,0.06594856012310397,0.09992074821877327
gru,0.0,0.1,0.12222466476148604,0.05267337264774514
gru,0.1,0.2,0.11650912288415036,0.05267337264774514
gru,0.2,0.30000000000000004,0.1395178427493222,0.05267337264774514
gru,0.30000000000000004,0.4,0.10925478127060892,0.05267337264774514
gru,0.4,0.5,0.10998754304975453,0.05267337264774514
gru,0.5,0.6000000000000001,0.10412544881658972,0.05267337264774514
gru,0.6000000000000001,0.7000000000000001,0.07628050120905694,0.05267337264774514
gru,0.7000000000000001,0.8,0.08302190957719645,0.05267337264774514
gru,0.8,0.9,0.07342273027038909,0.05267337264774514
gru,0.9,1.0,0.06565545541144574,0.05267337264774514
lstm,0.0,0.1,0.1351212720744486,0.07023248619209574
lstm,0.1,0.2,0.12442295009892285,0.07023248619209574
lstm,0.2,0.30000000000000004,0.1407635377738697,0.07023248619209574
lstm,0.30000000000000004,0.4,0.10632373415402653,0.07023248619209574
lstm,0.4,0.5,0.10888840038103613,0.07023248619209574
lstm,0.5,0.6000000000000001,0.09936249725214333,0.07023248619209574
lstm,0.6000000000000001,0.7000000000000001,0.07327617791455998,0.07023248619209574
lstm,0.7000000000000001,0.8,0.07869861508023741,0.07023248619209574
lstm,0.8,0.9,0.06873305488385725,0.07023248619209574
lstm,0.9,1.0,0.06440976038689822,0.07023248619209574
persistence,0.0,0.1,0.10478493441782076,0.09103600493488506
persistence,0.1,0.2,0.06484941745438558,0.09103600493488506
persistence,0.2,0.30000000000000004,0.07723309152194621,0.09103600493488506
persistence,0.30000000000000004,0.4,0.06015974206785374,0.09103600493488506
persistence,0.4,0.5,0.08309518575511102,0.09103600493488506
persistence,0.5,0.6000000000000001,0.1451601084487433,0.09103600493488506
persistence,0.6000000000000001,0.7000000000000001,0.13094452993331868,0.09103600493488506
persistence,0.7000000000000001,0.8,0.13797904301311645,0.09103600493488506
persistence,0.8,0.9,0.12031948413570748,0.09103600493488506
persistence,0.9,1.0,0.07547446325199678,0.09103600493488506
random_forest,0.0,0.1,0.09232798417234557,0.03530906087189609
random_forest,0.1,0.2,0.10148750641166557,0.03530906087189609
random_forest,0.2,0.30000000000000004,0.13827214772477467,0.03530906087189609
random_forest,0.30000000000000004,0.4,0.11562980874917564,0.03530906087189609
random_forest,0.4,0.5,0.1182677511540998,0.03530906087189609
random_forest,0.5,0.6000000000000001,0.10654356268777021,0.03530906087189609
random_forest,0.6000000000000001,0.7000000000000001,0.08661244229500989,0.03530906087189609
random_forest,0.7000000000000001,0.8,0.08382794753425661,0.03530906087189609
random_forest,0.8,0.9,0.08170293837473437,0.03530906087189609
random_forest,0.9,1.0,0.07532791089616765,0.03530906087189609
seasonal_naive,0.0,0.1,0.08866417527661757,0.01759971156451706
seasonal_naive,0.1,0.2,0.09306074595149116,0.01759971156451706
seasonal_naive,0.2,0.30000000000000004,0.1200996556019638,0.01759971156451706
seasonal_naive,0.30000000000000004,0.4,0.09958232578588701,0.01759971156451706
seasonal_naive,0.4,0.5,0.1005349160987763,0.01759971156451706
seasonal_naive,0.5,0.6000000000000001,0.11599618963874844,0.01759971156451706
seasonal_naive,0.6000000000000001,0.7000000000000001,0.1017806111233238,0.01759971156451706
seasonal_naive,0.7000000000000001,0.8,0.11013409540558365,0.01759971156451706
seasonal_naive,0.8,0.9,0.09870301165091229,0.01759971156451706
seasonal_naive,0.9,1.0,0.07144427346669598,0.01759971156451706
xgboost,0.0,0.1,0.09225470799443101,0.0314541550924589
xgboost,0.1,0.2,0.10265992525829852,0.0314541550924589
xgboost,0.2,0.30000000000000004,0.1345350626511321,0.0314541550924589
xgboost,0.30000000000000004,0.4,0.11511687550377372,0.0314541550924589
xgboost,0.4,0.5,0.11042720011724189,0.0314541550924589
xgboost,0.5,0.6000000000000001,0.11394445665714076,0.0314541550924589
xgboost,0.6000000000000001,0.7000000000000001,0.08551329962629149,0.0314541550924589
xgboost,0.7000000000000001,0.8,0.09108228914779805,0.0314541550924589
xgboost,0.8,0.9,0.08097017659558878,0.0314541550924589
xgboost,0.9,1.0,0.07349600644830366,0.0314541550924589
