model,nominal_c,empirical_picp,type
chronos,0.5,0.5504506484941746,marginal
chronos,0.5,0.5548472191690481,normalized
chronos,0.6,0.6531838499303876,marginal
chronos,0.6,0.6516450501941818,normalized
chronos,0.7,0.749542023888034,marginal
chronos,0.7,0.7499816809555213,normalized
chronos,0.8,0.8415769033487214,marginal
chronos,0.8,0.8377665420971642,normalized
chronos,0.9,0.9240858796805158,marginal
chronos,0.9,0.923060013189712,normalized
chronos,0.95,0.9616765589506852,marginal
chronos,0.95,0.9616032827727705,normalized
climatology,0.5,0.4939547153220488,marginal
climatology,0.5,0.48486846926064336,normalized
climatology,0.6,0.5947094599545688,marginal
climatology,0.6,0.5867956327397963,normalized
climatology,0.7,0.6917271195134462,marginal
climatology,0.7,0.68777020590606,normalized
climatology,0.8,0.7938741115263428,marginal
climatology,0.8,0.7942404924159155,normalized
climatology,0.9,0.8909650472631347,marginal
climatology,0.9,0.8887667619256979,normalized
climatology,0.95,0.9413057814904374,marginal
climatology,0.95,0.9432842382941306,normalized
gru,0.5,0.5104418553528248,marginal
gru,0.5,0.5174763684326226,normalized
gru,0.6,0.6196233604455191,marginal
gru,0.6,0.6214552648933832,normalized
gru,0.7,0.7249212281087418,marginal
gru,0.7,0.7160548105810801,normalized
gru,0.8,0.8212794020663882,marginal
gru,0.8,0.8062577855939034,normalized
gru,0.9,0.9092840917417747,marginal
gru,0.9,0.9000512933245401,normalized
gru,0.95,0.9552282552942039,marginal
gru,0.95,0.948706675459808,normalized
lstm,0.5,0.49380816296621965,marginal
lstm,0.5,0.501575437825163,normalized
lstm,0.6,0.6034293251264015,marginal
lstm,0.6,0.5997655162306734,normalized
lstm,0.7,0.7084340880779658,marginal
lstm,0.7,0.7032314794460321,normalized
lstm,0.8,0.8076500329742801,marginal
lstm,0.8,0.7999560342932512,normalized
lstm,0.9,0.9049607972448157,marginal
lstm,0.9,0.8950685132263501,normalized
lstm,0.95,0.9534696270242544,marginal
lstm,0.95,0.9471678757236023,normalized
persistence,0.5,0.5342566131750568,marginal
persistence,0.5,0.5356488605554335,normalized
persistence,0.6,0.6390415475928776,marginal
persistence,0.6,0.6361837766542097,normalized
persistence,0.7,0.7356195500842676,marginal
persistence,0.7,0.7376712830658753,normalized
persistence,0.8,0.8267018392320656,marginal
persistence,0.8,0.8308785813731956,normalized
persistence,0.9,0.915732395398256,marginal
persistence,0.9,0.9215212134535062,normalized
persistence,0.95,0.9607972448157104,marginal
persistence,0.95,0.9602110353923939,normalized
random_forest,0.5,0.5393859456290759,marginal
random_forest,0.5,0.5408514691873672,normalized
random_forest,0.6,0.6460027844947608,marginal
random_forest,0.6,0.6395544808382795,normalized
random_forest,0.7,0.7463178720597934,marginal
random_forest,0.7,0.7373049021763025,normalized
random_forest,0.8,0.8404044845020884,marginal
random_forest,0.8,0.8235509635817396,normalized
random_forest,0.9,0.9233531179013703,marginal
random_forest,0.9,0.909064263208031,normalized
random_forest,0.95,0.9638015681102073,marginal
random_forest,0.95,0.9506851322635012,normalized
seasonal_naive,0.5,0.5449549351505826,marginal
seasonal_naive,0.5,0.5542610097457317,normalized
seasonal_naive,0.6,0.648787279255514,marginal
seasonal_naive,0.6,0.644976918003957,normalized
seasonal_naive,0.7,0.7551110134095406,marginal
seasonal_naive,0.7,0.7442661390781857,normalized
seasonal_naive,0.8,0.8502234923426394,marginal
seasonal_naive,0.8,0.8310984099069393,normalized
seasonal_naive,0.9,0.9293617644903642,marginal
seasonal_naive,0.9,0.9119220341466989,normalized
seasonal_naive,0.95,0.9666593390488752,marginal
seasonal_naive,0.95,0.9507584084414157,normalized
xgboost,0.5,0.5471532204880194,marginal
xgboost,0.5,0.5469333919542757,normalized
xgboost,0.6,0.647468308053052,marginal
xgboost,0.6,0.6429251850223492,normalized
xgboost,0.7,0.7492489191763757,marginal
xgboost,0.7,0.7372316259983879,normalized
xgboost,0.8,0.8437019125082436,marginal
xgboost,0.8,0.8264087345204074,normalized
xgboost,0.9,0.9235729464351139,marginal
xgboost,0.9,0.9133142815270755,normalized
xgboost,0.95,0.9646808822451821,marginal
xgboost,0.95,0.9504653037297575,normalized
