split,h,model,ref,n_wells,wins,win_rate,p_value,region
test,1,chronos,seasonal_naive,2555,1603,0.6273972602739726,3.0517298037875245e-38,national
test,1,climatology,seasonal_naive,2555,1258,0.4923679060665362,0.45219252397404236,national
test,1,gru,seasonal_naive,2555,1708,0.6684931506849315,3.6940190028272247e-66,national
test,1,lstm,seasonal_naive,2555,1648,0.6450097847358122,3.3178898723304914e-49,national
test,1,persistence,seasonal_naive,2555,843,0.3299412915851272,2.1901900911919153e-67,national
test,1,random_forest,seasonal_naive,2555,1828,0.7154598825831703,1.939202354029916e-108,national
test,1,xgboost,seasonal_naive,2555,1828,0.7154598825831703,1.939202354029916e-108,national
test,2,chronos,seasonal_naive,2531,1443,0.5701303832477281,1.8173295306785374e-12,national
test,2,climatology,seasonal_naive,2531,1251,0.49427103911497433,0.5778367685471927,national
test,2,gru,seasonal_naive,2531,1545,0.6104306598182536,8.304703753939887e-29,national
test,2,lstm,seasonal_naive,2531,1478,0.5839589095219281,2.975060753992809e-17,national
test,2,persistence,seasonal_naive,2530,639,0.2525691699604743,1.2341770528332148e-142,national
test,2,random_forest,seasonal_naive,2531,1736,0.6858949032003161,9.42062064663646e-80,national
test,2,xgboost,seasonal_naive,2531,1705,0.6736467799288819,1.3363057135602715e-69,national
test,3,chronos,seasonal_naive,2471,1463,0.5920679886685553,5.246560508816126e-20,national
test,3,climatology,seasonal_naive,2471,1255,0.5078915418858762,0.44460746578506205,national
test,3,gru,seasonal_naive,2471,1534,0.6208012950222582,1.9701093884995344e-33,national
test,3,lstm,seasonal_naive,2471,1424,0.576284904896803,3.496807788900802e-14,national
test,3,persistence,seasonal_naive,2468,790,0.320097244732577,7.110095057276628e-73,national
test,3,random_forest,seasonal_naive,2471,1661,0.6721974908943747,7.244099183845209e-67,national
test,3,xgboost,seasonal_naive,2471,1619,0.6552003237555646,1.949584410769699e-54,national
test,4,chronos,seasonal_naive,2768,1622,0.5859826589595376,1.4229625915260374e-19,national
test,4,climatology,seasonal_naive,2768,1417,0.5119219653179191,0.21665035775052943,national
test,4,gru,seasonal_naive,2768,1687,0.6094653179190751,7.773614830296082e-31,national
test,4,lstm,seasonal_naive,2768,1639,0.5921242774566474,2.9581160756321827e-22,national
test,4,persistence,seasonal_naive,0,0,,,national
test,4,random_forest,seasonal_naive,2768,1723,0.622471098265896,2.931109023543084e-38,national
test,4,xgboost,seasonal_naive,2768,1692,0.611271676300578,8.138856335727225e-32,national
test,1,chronos,seasonal_naive,186,107,0.5752688172043011,0.04744112748635065,igp
test,1,climatology,seasonal_naive,186,57,0.3064516129032258,1.3618611239957817e-07,igp
test,1,gru,seasonal_naive,186,114,0.6129032258064516,0.0025505192526799423,igp
test,1,lstm,seasonal_naive,186,109,0.5860215053763441,0.022767603353880655,igp
test,1,persistence,seasonal_naive,186,76,0.40860215053763443,0.015308531789131533,igp
test,1,random_forest,seasonal_naive,186,110,0.5913978494623656,0.015308531789131533,igp
test,1,xgboost,seasonal_naive,186,105,0.5645161290322581,0.09144224552258924,igp
test,2,chronos,seasonal_naive,195,108,0.5538461538461539,0.15189443947043008,igp
test,2,climatology,seasonal_naive,195,66,0.3384615384615385,7.577535277612099e-06,igp
test,2,gru,seasonal_naive,195,100,0.5128205128205128,0.7746233321773475,igp
test,2,lstm,seasonal_naive,195,90,0.46153846153846156,0.3160731261190133,igp
test,2,persistence,seasonal_naive,195,76,0.38974358974358975,0.002542823725696823,igp
test,2,random_forest,seasonal_naive,195,110,0.5641025641025641,0.0854116196818819,igp
test,2,xgboost,seasonal_naive,195,118,0.6051282051282051,0.004060633132423738,igp
test,3,chronos,seasonal_naive,169,95,0.5621301775147929,0.12368263020457389,igp
test,3,climatology,seasonal_naive,169,54,0.31952662721893493,3.1036537715717317e-06,igp
test,3,gru,seasonal_naive,169,81,0.47928994082840237,0.6445422120603316,igp
test,3,lstm,seasonal_naive,169,77,0.4556213017751479,0.28147844170582353,igp
test,3,persistence,seasonal_naive,169,76,0.44970414201183434,0.2182936219850502,igp
test,3,random_forest,seasonal_naive,169,95,0.5621301775147929,0.12368263020457389,igp
test,3,xgboost,seasonal_naive,169,87,0.514792899408284,0.7584219886210962,igp
test,4,chronos,seasonal_naive,216,122,0.5648148148148148,0.0659436118214457,igp
test,4,climatology,seasonal_naive,216,72,0.3333333333333333,1.0919923373258173e-06,igp
test,4,gru,seasonal_naive,216,92,0.42592592592592593,0.03467725976993022,igp
test,4,lstm,seasonal_naive,216,102,0.4722222222222222,0.45426338312793496,igp
test,4,persistence,seasonal_naive,0,0,,,igp
test,4,random_forest,seasonal_naive,216,115,0.5324074074074074,0.3764471310265597,igp
test,4,xgboost,seasonal_naive,216,105,0.4861111111111111,0.7337887753383905,igp
